,n-alcohol concentration (_g/gOC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,C16,,C18,,C23,,C24,,C25,,C26,,C27,,C28,,C29,,C30,,C31,,C32,,C33,,C34,,C35,,C36,,"_LC, 26-36",,"ACL, 26-36",,"CPI, 26-36",,,,,,,,,,
,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,,,,,,,,,
May-12,43.6,8.4,167.8,10.4,31.9,8.4,95.4,9.0,23.8,8.3,128.7,9.6,36.0,8.4,144.3,9.9,49.1,8.4,129.2,9.6,35.6,8.4,118.6,9.4,33.1,8.4,77.7,8.7,19.8,8.3,74.3,8.7,672.8,22.8,30.28,0.11,3.49,0.15,,,,,,,,,
Jun-12,43.2,3.8,76.8,4.6,23.9,3.6,103.5,5.3,30.5,3.7,138.3,6.5,31.3,3.7,153.6,7.0,41.1,3.8,145.5,6.7,31.8,3.7,123.3,6.0,21.1,3.6,75.0,4.5,11.5,3.5,52.9,4.0,688.6,14.4,30.00,0.06,4.47,0.09,,,,,,,,,
Jul-12,43.3,5.4,151.2,7.8,27.1,5.3,106.7,6.6,28.8,5.3,129.4,7.2,32.8,5.3,157.3,8.0,47.3,5.5,151.2,7.8,31.0,5.3,126.5,7.1,23.4,5.3,86.7,6.1,14.5,5.2,57.0,5.6,708.1,17.2,30.15,0.08,4.23,0.12,,,,,,,,,
Aug-12,59.7,7.1,284.5,13.1,33.2,6.9,108.5,7.9,32.7,6.9,122.1,8.2,37.0,6.9,151.3,8.9,46.7,7.0,131.5,8.4,32.9,6.9,109.1,7.9,25.2,6.9,90.0,7.6,17.4,6.9,100.8,7.8,704.9,20.0,30.56,0.10,3.90,0.14,,,,,,,,,
Oct-12,40.2,5.6,74.8,6.1,20.9,5.5,63.8,5.9,25.6,5.5,85.2,6.3,25.4,5.5,104.2,6.7,34.5,5.6,108.7,6.8,24.9,5.5,90.0,6.4,19.4,5.5,60.3,5.8,13.5,5.5,45.8,5.7,494.2,15.4,30.30,0.10,3.67,0.14,,,,,,,,,
Nov-12,39.3,5.1,34.7,5.0,20.4,4.9,65.0,5.4,27.8,5.0,93.8,6.0,25.5,5.0,94.5,6.0,31.8,5.0,93.2,6.0,25.5,5.0,75.8,5.6,17.2,4.9,49.8,5.2,10.9,4.9,29.7,5.0,436.8,13.9,29.92,0.11,3.41,0.13,,,,,,,,,
Dec-12,41.4,6.5,42.7,6.5,23.6,6.4,66.5,6.8,25.5,6.4,88.9,7.2,27.0,6.5,91.0,7.2,38.9,6.5,97.5,7.3,27.8,6.5,85.4,7.1,20.4,6.4,57.0,6.7,15.0,6.4,39.2,6.5,459.1,17.2,30.21,0.13,3.12,0.14,,,,,,,,,
Jan-13,49.5,9.1,65.4,9.2,28.2,9.0,78.8,9.4,32.8,9.0,104.2,9.7,34.4,9.0,122.0,10.0,45.8,9.1,122.0,10.0,35.8,9.0,109.6,9.8,27.2,9.0,71.3,9.3,19.9,9.0,46.1,9.1,575.3,23.7,30.21,0.14,3.08,0.16,,,,,,,,,
Feb-13,46.6,5.1,71.4,5.5,21.2,4.9,70.8,5.5,27.5,4.9,93.5,6.0,26.4,4.9,105.6,6.3,35.5,5.0,100.0,6.1,26.3,4.9,87.9,5.9,19.3,4.9,58.8,5.3,12.1,4.9,39.7,5.0,485.5,14.2,30.13,0.10,3.55,0.12,,,,,,,,,
Mar-13,63.4,5.2,79.1,5.5,26.7,4.7,88.0,5.7,28.2,4.8,105.9,6.2,30.8,4.8,122.0,6.6,37.8,4.8,137.1,7.1,27.8,4.8,102.2,6.1,21.0,4.7,64.9,5.2,12.7,4.7,44.2,4.9,576.4,14.8,30.11,0.08,3.91,0.12,,,,,,,,,
Apr-13,49.1,5.0,60.9,5.2,23.4,4.7,75.3,5.4,27.1,4.8,96.7,5.9,27.4,4.8,111.3,6.3,34.7,4.8,110.7,6.3,25.8,4.8,101.9,6.1,19.7,4.7,64.4,5.2,12.9,4.7,42.2,4.9,527.2,14.2,30.20,0.09,3.84,0.12,,,,,,,,,
May-13,41.3,5.5,82.0,6.1,26.7,5.4,92.7,6.4,29.5,5.4,115.9,6.9,32.5,5.4,138.5,7.5,46.1,5.6,135.0,7.4,28.1,5.4,119.1,7.0,23.3,5.4,76.9,6.0,14.1,5.4,47.5,5.6,633.0,16.6,30.14,0.08,3.88,0.12,,,,,,,,,
Jun-13,33.4,5.6,96.4,6.6,22.8,5.6,86.7,6.4,27.3,5.6,115.4,7.0,32.5,5.6,133.5,7.5,42.7,5.7,129.8,7.4,28.9,5.6,109.4,6.9,22.9,5.6,71.1,6.1,14.5,5.5,44.7,5.7,603.9,16.7,30.07,0.09,3.79,0.12,,,,,,,,,
Jul-13,27.6,4.7,239.6,10.6,24.1,4.7,85.2,5.6,24.2,4.7,99.8,6.0,29.9,4.8,124.5,6.7,39.8,4.9,105.3,6.1,26.2,4.7,82.5,5.6,19.3,4.7,54.2,5.0,13.0,4.7,45.0,4.9,511.4,14.1,30.01,0.09,3.55,0.11,,,,,,,,,
Aug-13,64.1,14.3,215.9,16.2,41.7,14.2,102.4,14.6,41.1,14.2,118.4,14.7,44.8,14.2,138.5,15.0,55.2,14.3,130.0,14.9,41.2,14.2,105.9,14.6,36.1,14.2,86.5,14.4,28.7,14.2,91.2,14.5,670.5,35.9,30.53,0.18,2.81,0.18,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
