,n-alkane concentration (_g/gOC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,C23,,C24,,C25,,C26,,C27,,C28,,C29,,C30,,C31,,C32,,C33,,C34,,C35,,_25-35,,"ACL, 25-35",,"CPI, 25-35",,Paq,,,,,,,,
,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,,,,,,,,,
Aug-12,8.8,1.3,6.9,1.3,11.5,1.3,9.2,1.3,18.0,1.3,11.7,1.3,45.2,1.3,13.4,1.3,38.6,1.3,11.0,1.3,21.9,1.3,8.7,1.3,12.3,1.3,147.6,3.2,30.06,0.07,2.48,0.06,0.19,,,,,,,,
Oct-12,6.8,1.0,6.1,1.0,8.5,1.0,7.7,1.0,13.4,1.0,8.5,1.0,36.9,1.1,9.2,1.0,30.1,1.1,7.5,1.0,15.8,1.0,5.8,1.0,8.9,1.0,113.7,2.5,30.02,0.08,2.62,0.07,0.19,,,,,,,,
Nov-12,7.4,0.9,7.8,0.9,11.1,0.9,10.0,0.9,17.5,0.9,10.9,0.9,34.3,1.0,10.1,0.9,25.3,0.9,7.9,0.9,13.1,0.9,5.9,0.9,7.7,0.9,108.9,2.3,29.64,0.07,2.17,0.05,0.24,,,,,,,,
Dec-12,6.6,1.2,6.7,1.2,9.0,1.2,8.2,1.2,13.0,1.2,9.4,1.2,31.4,1.2,9.2,1.2,24.8,1.2,8.0,1.2,14.1,1.2,6.5,1.2,8.6,1.2,100.9,2.9,29.95,0.10,2.16,0.07,0.22,,,,,,,,
Jan-13,8.9,1.7,8.5,1.7,11.9,1.7,10.1,1.7,16.2,1.7,10.8,1.7,44.1,1.7,12.2,1.7,37.0,1.7,10.6,1.7,20.2,1.7,8.7,1.7,12.6,1.7,142.0,4.1,30.06,0.10,2.39,0.08,0.20,,,,,,,,
Feb-13,5.9,0.9,5.4,0.9,7.9,0.9,6.4,0.9,11.5,0.9,7.0,0.9,28.2,0.9,7.2,0.9,22.6,0.9,5.8,0.9,11.9,0.9,4.6,0.9,7.0,0.9,89.1,2.2,29.90,0.09,2.52,0.08,0.21,,,,,,,,
Mar-13,11.9,0.9,11.4,0.9,18.3,0.9,13.8,0.9,27.9,0.9,13.1,0.9,57.8,1.0,11.9,0.9,43.2,1.0,8.9,0.9,20.6,0.9,6.0,0.9,10.7,0.9,178.6,2.3,29.58,0.04,2.94,0.05,0.23,,,,,,,,
Apr-13,12.4,0.9,10.9,0.9,14.9,0.9,10.6,0.9,18.9,0.9,10.3,0.9,50.3,1.0,11.0,0.9,39.4,1.0,8.4,0.9,19.0,0.9,5.9,0.9,9.7,0.9,152.1,2.2,29.76,0.05,2.88,0.05,0.23,,,,,,,,
May-13,11.2,1.0,9.6,1.0,14.2,1.0,10.4,1.0,19.9,1.0,11.2,1.0,56.1,1.1,12.5,1.0,44.3,1.1,10.1,1.0,22.0,1.0,7.2,1.0,14.2,1.0,170.7,2.6,29.97,0.05,2.96,0.05,0.20,,,,,,,,
Jun-13,9.4,1.0,8.5,1.0,12.9,1.0,10.8,1.0,21.3,1.0,11.5,1.0,82.1,1.3,13.4,1.0,54.0,1.2,10.3,1.0,24.2,1.1,7.2,1.0,12.6,1.0,207.1,2.7,29.90,0.04,3.50,0.06,0.14,,,,,,,,
Jul-13,9.3,0.9,7.7,0.9,10.6,0.9,7.2,0.9,15.6,0.9,8.7,0.9,45.5,1.0,10.1,0.9,33.9,0.9,7.6,0.9,15.9,0.9,5.9,0.9,7.6,0.9,129.1,2.2,29.80,0.06,2.89,0.06,0.20,,,,,,,,
Aug-13,16.9,2.6,15.4,2.6,20.7,2.6,17.0,2.6,28.2,2.6,18.4,2.6,57.4,2.7,19.8,2.6,47.2,2.7,16.7,2.6,27.4,2.6,14.5,2.6,17.1,2.6,198.0,6.5,29.85,0.11,2.01,0.07,0.26,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
