,n-alkanoic acid _13C (ä VPDB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,C16,,C18,,C20,,C22,,C24,,C25,,C26,,C27,,C28,,C29,,C30,,C31,,C32,,C33,,C34,,,
,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,,
Oct-12,-23.8,0.0,-26.0,0.0,-23.0,0.1,-29.3,0.1,-28.9,0.0,-29.4,0.4,-31.0,0.1,-31.3,0.1,-31.7,0.2,-32.8,0.3,-32.2,0.1,-33.2,0.2,-32.2,0.2,-33.2,0.5,-31.4,0.1,,
Nov-12,-28.2,0.3,-28.1,0.3,-25.8,0.0,-30.8,0.1,-31.0,0.1,-29.3,0.5,-30.5,0.1,-31.2,0.5,-31.3,0.0,-32.5,0.3,-31.9,0.1,-33.1,0.1,-31.9,0.1,-32.4,0.1,-31.1,0.4,,
Dec-12,-25.3,0.0,-26.7,0.1,-22.7,0.1,-27.5,0.1,-27.6,0.1,-29.3,0.2,-30.1,0.3,-31.0,0.8,-30.7,0.1,-32.6,0.3,-31.7,0.1,-32.7,0.1,-31.7,0.1,-32.2,0.3,-30.2,0.2,,
Jan-13,-27.1,0.2,-27.7,0.5,-25.6,0.2,-29.8,0.1,-29.5,0.2,,,-34.5,0.1,,,-30.2,0.1,-30.2,0.0,-30.4,0.5,,,-31.6,0.3,,,-28.9,0.1,,
Feb-13,-21.4,0.5,-24.5,0.2,-21.6,0.3,-28.6,0.2,-28.9,0.2,-30.2,0.6,-31.1,0.2,-31.8,0.3,-32.0,0.1,-32.7,0.2,-32.6,0.1,-32.7,0.4,-32.4,0.0,-33.3,0.4,-31.5,0.2,,
Mar-13,-28.8,0.3,-28.1,0.2,-26.3,0.3,-31.9,0.1,-31.6,0.1,-29.7,0.3,-30.8,0.4,-31.5,0.4,-31.5,0.1,-32.7,0.5,-32.4,0.1,-33.2,0.3,-32.5,0.2,-33.4,0.2,-31.9,0.3,,
Apr-13,-28.7,0.3,-27.9,0.4,-27.0,0.4,-31.6,0.5,-31.5,0.1,-30.4,0.5,-30.9,0.1,-31.7,0.3,-31.7,0.1,-33.1,0.1,-32.4,0.2,-32.9,0.1,-32.3,0.2,-33.2,0.1,-31.6,0.2,,
May-13,-29.3,0.3,-28.3,0.2,-27.6,0.3,-32.7,0.1,-31.5,0.1,-29.5,0.2,-31.0,0.1,-31.8,0.2,-32.0,0.1,-32.9,0.4,-32.4,0.0,-32.9,0.2,-32.3,0.1,-33.3,0.7,-31.0,0.2,,
Jun-13,-29.1,0.3,-28.0,0.2,-26.3,0.1,-31.5,0.1,-31.1,0.4,-30.8,0.3,-30.8,0.0,-32.5,0.2,-31.7,0.2,-33.0,0.3,-32.7,0.2,-33.2,0.3,-32.5,0.3,-33.0,0.3,-31.4,0.4,,
Jul-13,-32.0,0.9,-27.7,0.1,-27.0,0.1,-31.9,0.1,-31.7,0.0,-30.2,0.0,-31.1,0.0,-31.8,0.2,-32.1,0.1,-32.8,0.3,-32.3,0.1,-32.8,0.2,-31.9,0.1,-33.0,0.1,-31.6,0.1,,
Aug-13,-28.8,0.4,-27.2,0.3,-27.2,0.5,-32.2,0.1,-32.2,0.0,-30.0,0.6,-31.2,0.2,-31.3,0.4,-31.8,0.0,-32.7,0.1,-32.1,0.0,-32.3,0.2,-30.8,0.2,-32.2,0.0,-31.4,0.1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
