,n-alkanoic acid concentration (_g/gOC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,C16,,C17,,C18,,C19,,C20,,C21,,C22,,C23,,C24,,C25,,C26,,C27,,C28,,C29,,C30,,C31,,C32,,C33,,C34,,C35,,C36,,"_LC, 26-36",,"ACL, 26-36",,"CPI, 26-36",,,,,,,,,,,,,,,,,,
,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,,,,,,,,,,,,,,,,,
Dec-11,189.1,1.1,5.1,0.5,291.1,1.5,1.3,0.5,30.1,0.6,9.1,0.5,47.8,0.6,12.1,0.5,63.2,0.6,9.7,0.5,47.6,0.6,8.4,0.5,44.5,0.6,9.9,0.5,45.9,0.6,11.7,0.5,30.5,0.6,6.3,0.5,17.2,0.6,0.6,0.5,4.6,0.5,190.2,1.4,29.36,0.03,4.72,0.05,,,,,,,,,,,,,,,,,
Jan-12,4152.0,20.3,112.6,0.7,2102.5,10.3,25.4,0.4,111.5,0.6,17.5,0.4,135.3,0.7,45.4,0.4,264.6,1.3,51.1,0.4,218.0,1.1,42.6,0.4,237.2,1.2,62.5,0.5,243.8,1.2,57.7,0.4,165.8,0.9,36.0,0.4,88.1,0.6,13.0,0.4,30.0,0.4,983.0,2.3,29.51,0.01,4.20,0.01,,,,,,,,,,,,,,,,,
Feb-12,7330.3,35.8,172.0,1.0,2911.6,14.2,23.1,0.5,137.4,0.8,27.5,0.5,171.5,1.0,59.1,0.6,286.6,1.5,56.0,0.6,227.4,1.2,50.7,0.6,248.8,1.3,66.3,0.6,245.1,1.3,5.2,0.5,168.7,1.0,36.2,0.5,98.0,0.7,11.6,0.5,30.6,0.5,1018.7,2.6,29.51,0.01,5.27,0.01,,,,,,,,,,,,,,,,,
Mar-12,4172.8,20.4,124.5,0.8,2466.1,12.1,40.0,0.6,124.5,0.8,28.8,0.6,184.5,1.1,57.2,0.6,313.6,1.6,59.4,0.6,260.0,1.4,58.5,0.6,308.0,1.6,77.6,0.7,287.5,1.5,76.3,0.7,192.1,1.1,41.8,0.6,108.9,0.8,9.4,0.5,31.7,0.6,1188.2,3.0,29.46,0.01,4.10,0.01,,,,,,,,,,,,,,,,,
Apr-12,3684.3,18.0,111.0,0.9,1429.8,7.0,19.1,0.7,118.2,0.9,33.7,0.7,193.7,1.2,63.4,0.7,323.8,1.7,65.4,0.7,292.8,1.6,64.7,0.7,352.7,1.9,92.0,0.8,355.4,1.9,87.5,0.8,234.9,1.3,52.6,0.7,134.2,0.9,16.3,0.7,36.5,0.7,1406.7,3.5,29.54,0.01,4.12,0.01,,,,,,,,,,,,,,,,,
May-12,183.0,1.1,6.4,0.7,305.0,1.6,2.4,0.7,34.3,0.7,10.4,0.7,77.8,0.8,27.1,0.7,152.9,1.0,26.9,0.7,126.5,0.9,24.0,0.7,130.1,0.9,29.8,0.7,116.1,0.9,33.4,0.7,76.3,0.8,16.3,0.7,43.5,0.7,3.8,0.7,13.3,0.7,505.8,2.0,29.29,0.01,4.28,0.02,,,,,,,,,,,,,,,,,
Jun-12,79.8,0.5,3.1,0.3,138.9,0.7,2.9,0.3,54.4,0.4,14.5,0.3,154.9,0.8,50.7,0.4,328.1,1.6,64.5,0.4,321.3,1.6,68.9,0.4,376.5,1.9,106.8,0.6,394.5,1.9,93.2,0.5,280.9,1.4,63.7,0.4,161.7,0.8,20.2,0.3,50.4,0.4,1585.2,3.6,29.67,0.01,4.15,0.01,,,,,,,,,,,,,,,,,
Jul-12,6238.2,30.5,107.8,0.7,3317.4,16.2,24.7,0.4,137.2,0.8,23.5,0.4,160.1,0.9,44.7,0.5,270.3,1.4,51.1,0.5,237.6,1.2,46.8,0.5,277.5,1.4,70.7,0.5,284.8,1.5,63.0,0.5,190.7,1.0,39.4,0.5,107.2,0.7,11.3,0.4,28.6,0.4,1126.4,2.7,29.54,0.01,4.44,0.01,,,,,,,,,,,,,,,,,
Aug-12,6139.8,30.0,130.5,0.8,4302.8,21.0,28.1,0.6,178.1,1.0,38.2,0.6,268.8,1.4,78.9,0.7,464.5,2.3,82.7,0.7,384.5,2.0,73.8,0.7,457.1,2.3,8.6,0.5,371.0,1.9,79.9,0.7,225.2,1.2,47.7,0.6,123.4,0.8,14.1,0.5,37.4,0.6,1598.6,3.9,29.20,0.01,6.19,0.01,,,,,,,,,,,,,,,,,
Oct-12,3874.8,18.9,90.7,0.6,299.6,1.5,16.9,0.4,117.1,0.7,17.1,0.4,111.6,0.7,28.8,0.5,192.4,1.0,31.6,0.5,162.2,0.9,31.3,0.5,191.1,1.0,47.6,0.5,194.2,1.0,42.1,0.5,129.6,0.8,28.4,0.5,75.9,0.6,6.7,0.4,23.4,0.4,776.2,2.0,29.58,0.01,4.57,0.01,,,,,,,,,,,,,,,,,
